LegLength	ArmLength	ArmCirc
35.1	33.3	25.8
39.5	35.9	27.6
34.7	33	34.7
37.6	38.7	36.3
41.4	35.4	34.3
37.8	35.4	26.5
45.4	40.5	32.5
40	39	32.3
40.8	38.5	40.4
38.2	40	32
36.3	38.1	34.7
39.6	38.7	40.4
46.1	38.6	29.8
33.9	36.2	23.6
45	40.4	32.6
44.4	39	31.3
45	38.5	36.7
37.2	36.2	47.5
40.6	40.1	33.6
36.2	35.5	26.7
35.4	32.8	25.4
40.1	35.2	25
35.7	36.8	29.6
35	32.4	29.1
NaN	36.7	30.6
42.7	39.8	34.8
36	38	27.7
39.1	38	25.8
41.3	36	29
43.2	37.6	33.9
39.2	39.5	35.7
44.1	40.8	36.6
39	37.5	35.4
33.5	35.2	29.9
40.5	35.1	27.2
27.8	37.3	35
44.6	37	27.3
38.5	41.6	34.7
34	38.2	36
NaN	34	29.3
37.4	33.6	25.4
36.4	35	30.2
42.5	36	22
31	34.8	28.4
38.5	34	30.4
40.9	35	39.5
37	36.2	32
24	35.2	40.4
41.6	41.8	37.5
36.6	33.8	28.4
40.6	40.5	30.3
36.1	36.5	35.3
41.4	42.4	36.8
39.5	34.6	29.5
44	36.6	35
39.1	35	29.2
30.8	37	33.4
40	37.6	32.8
